PartnerId,Status,ModifiedDate,CreatedDate,Device,Application,InstalledDate,DeinstalledDate,Connectiv,DCC,ZWROT,PREAUTOR,UNIEWAZ,CASHBACK_A,CONTACTLES,CZASRT,DOWNLOAD,TPWOB,anon_Eid,anon_ParentEid,anon_Name,anon_Logo
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0111,0111,0,e94805a436d63104fa74cd796c5949db,619acc322131dc05bf33a127fb479c1d,74b1076e75c90286d48dca7c52795fc9,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0111,0111,0,a290b06737f0ae0ba00868868b58ed65,489a4238a5aa656e6e1a5bd2a5d64a3b,af33dea65f857bbb089b5537d5d6bb05,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0046,0046,0,5b3db973ae8d70ea2b7b32c79ec9eb1c,8a4c93a745605b74a526a2009e622c11,35329681040d2d4f5cfe988dc47e52ed,242be10812b73ea3b2894dba311f738d
9,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,EFT930S,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,0005,0005,0,c8d9e548cdddb0709b529c80b1c9d9d5,30912def7e56dc3de9687ed6c4f458c0,9695cddf578fcc15f5e0fb6e61615c43,242be10812b73ea3b2894dba311f738d
1,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,DIALUP,N,1,0,1,0,1,0415,0415,0,1549f81dc7aa85539bccd1a091dae615,818f32cfc62e2703c34be118c3ffdcf0,0ccfc481cd23cf60325f5a69eb73d0a5,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0036,0036,0,137510e878cfdaa0273163decd9f8cfe,1c8d07b3c55d6199a73a4f34e1d04789,c68262c3ebf4853cf3ce8015a143a109,242be10812b73ea3b2894dba311f738d
12,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,Vx510G,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,0,0005,0005,0,d04b11aa702b6f43351b4421436ce794,e5e76658a443980a6a7fa2a29c36a422,0ade08f123c9ca9beace074d88b1b8c1,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0046,0046,0,56fd4a8a0dee29f372b876cc5376eb4a,54ae08db4e973a89641ed0506cc04d1a,cd7fc65cac8b8c2ace9ecb19b81a737b,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX820,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0205,0205,0,a9c3438920386e155ddd917d5769e936,0915630872fba37d1bbde43e6682cf2d,863b46102c17cff9545ae645eed8d152,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0018,0018,0,2560dd9a185206bf77b0ef961d773714,6f1e5bffe4931356627279458f3af460,e361991f9b1d601718fe56698863c353,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX510,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,3,0,1,0031,0031,0,a120d33920e5cbd04d60c75072ba210e,1c816a2746217b33d9a907ad8cf1a50b,eead30546dee4b50d2a305adb5d350cd,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX820,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,0,0,1,0,1,0550,0550,0,c1de894debd4e2e2233525c6c6daf66f,b23dc5fc360b1358dc15b04d86d7a88f,3d6304c87856a374f454caf5eac19761,242be10812b73ea3b2894dba311f738d
1,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,N,1,0,1,0,1,0510,0510,0,e36ae9768fb469f184f716e6c2d0fa37,54aeeac4bc98a04344146478b4f1200b,6fec1a9ed3ba9fa6fe3af746d353df9b,242be10812b73ea3b2894dba311f738d
1,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,N,1,0,1,0,1,0510,0510,0,0fb84e9652982ca87452097744023b14,54aeeac4bc98a04344146478b4f1200b,a66e32a7a105b19b4496d86768f44d4b,242be10812b73ea3b2894dba311f738d
